VALIDAÇÃO,Logistica Reversa Transportadora,Logistica Reversa Estado,Logistica Reversa Cidade,Abrangencia
NÃO PARÇA,FAVORITA,GO,Formosa,3
NÃO PARÇA,MG - DOMINALOG,BA,Itacare,3
NÃO PARÇA,CONECTA CARGO,SP,Brotas,3
NÃO PARÇA,MG - DOMINALOG,RS,Flores da Cunha,3
NÃO PARÇA,FAVORITA,GO,Ipora,3
NÃO PARÇA,MG - DOMINALOG,ES,Domingos Martins,3
NÃO PARÇA,CONECTA CARGO,MG,Para de Minas,3
NÃO PARÇA,CONECTA CARGO,SC,Sao Bento do Sul,3
NÃO PARÇA,MG - DOMINALOG,AL,Arapiraca,3
NÃO PARÇA,MG - DOMINALOG,PB,Cabedelo,3
NÃO PARÇA,BETIM - BULKY L,MG,Belo Horizonte,3
NÃO PARÇA,CONECTA CARGO,RJ,Aperibe,3
NÃO PARÇA,CONECTA CARGO,SP,Irapuru,3
NÃO PARÇA,CONECTA CARGO,SP,Presidente Epitacio,3
NÃO PARÇA,CONECTA CARGO,SP,Guaira,3
NÃO PARÇA,MG - DOMINALOG,BA,Mutuipe,3
NÃO PARÇA,FAVORITA,GO,Goianesia,3
NÃO PARÇA,MG - DOMINALOG,RS,Santa Vitoria do Palmar,3
NÃO PARÇA,MG - DOMINALOG,CE,Sobral,3
NÃO PARÇA,MG - DOMINALOG,CE,Mauriti,3
NÃO PARÇA,CONECTA CARGO,SP,Barrinha,3
NÃO PARÇA,CONECTA CARGO,MG,Passos,3
NÃO PARÇA,CONECTA CARGO,MG,Paraopeba,3
NÃO PARÇA,CONECTA CARGO,SP,Regente Feijo,3
NÃO PARÇA,GRAVATAI - BULK,RS,Gramado,3
NÃO PARÇA,CONECTA CARGO,SP,Piraju,3
NÃO PARÇA,FAVORITA,MS,Chapadao do Sul,3
NÃO PARÇA,MG - DOMINALOG,RS,Osorio,3
NÃO PARÇA,MG - DOMINALOG,PR,Ubirata,3
NÃO PARÇA,MG - DOMINALOG,PR,Bom Sucesso,3
NÃO PARÇA,MG - DOMINALOG,RS,Rosario do Sul,3
NÃO PARÇA,MG - DOMINALOG,RS,Jaguarao,3
NÃO PARÇA,CONECTA CARGO,SP,Santa Rosa de Viterbo,3
NÃO PARÇA,MG - DOMINALOG,PE,Garanhuns,3
NÃO PARÇA,MG - DOMINALOG,MA,Balsas,3
NÃO PARÇA,CONECTA CARGO,SP,Meridiano,3
NÃO PARÇA,MG - DOMINALOG,ES,Guacui,3
NÃO PARÇA,CONECTA CARGO,SP,Paranapanema,3
NÃO PARÇA,MG - DOMINALOG,BA,Serra do Ramalho,3
NÃO PARÇA,CONECTA CARGO,SP,Sao Joaquim da Barra,3
NÃO PARÇA,CONECTA CARGO,SP,Mirandopolis,3
NÃO PARÇA,GRAVATAI - BULK,RS,Osorio,3
NÃO PARÇA,CONECTA CARGO,MG,Virginopolis,3
NÃO PARÇA,CONECTA CARGO,MG,Capelinha,3
NÃO PARÇA,CONECTA CARGO,SC,Quilombo,3
NÃO PARÇA,CONECTA CARGO,MG,Santa Vitoria,3
NÃO PARÇA,MG - DOMINALOG,RS,Porto Xavier,3
NÃO PARÇA,CONECTA CARGO,SP,Fernando Prestes,3
NÃO PARÇA,CONECTA CARGO,SP,Igarapava,3
NÃO PARÇA,MG - DOMINALOG,CE,Maranguape,3
NÃO PARÇA,MG - DOMINALOG,MA,Presidente Dutra,3
NÃO PARÇA,FAVORITA,MS,Bataguassu,3
NÃO PARÇA,FAVORITA,GO,Itumbiara,3
NÃO PARÇA,MG - DOMINALOG,PR,Ribeirao Claro,3
NÃO PARÇA,CONECTA CARGO,SP,Ibira,3
NÃO PARÇA,CONECTA CARGO,SC,Porto Belo,3
NÃO PARÇA,MG - DOMINALOG,RS,Cachoeira do Sul,3
NÃO PARÇA,MG - DOMINALOG,RS,Rio Pardo,3
NÃO PARÇA,CONECTA CARGO,MG,Itamarandiba,3
NÃO PARÇA,CONECTA CARGO,MG,Itamonte,3
NÃO PARÇA,CONECTA CARGO,SP,Pirajui,3
NÃO PARÇA,MG - DOMINALOG,CE,Maracanau,3
NÃO PARÇA,CONECTA CARGO,SP,Iepe,3
NÃO PARÇA,MG - DOMINALOG,ES,Muniz Freire,3
NÃO PARÇA,MG - DOMINALOG,PR,Sao Mateus do Sul,2
NÃO PARÇA,SALVADOR-BULKY,BA,Salvador,2
NÃO PARÇA,MG - DOMINALOG,PR,Marilena,2
NÃO PARÇA,CONECTA CARGO,SP,Pedro de Toledo,2
NÃO PARÇA,CONECTA CARGO,SC,Presidente Getulio,2
NÃO PARÇA,MG - DOMINALOG,RS,Estancia Velha,2
NÃO PARÇA,CONECTA CARGO,SC,Balneario Gaivota,2
NÃO PARÇA,MG - DOMINALOG,BA,Caetite,2
NÃO PARÇA,MG - DOMINALOG,ES,Conceicao da Barra,2
NÃO PARÇA,CONECTA CARGO,MG,Santa Maria do Suacui,2
NÃO PARÇA,MG - DOMINALOG,PB,Guarabira,2
NÃO PARÇA,FAVORITA,GO,Planaltina,2
NÃO PARÇA,CONECTA CARGO,MG,Itauna,2
NÃO PARÇA,MG - DOMINALOG,ES,Anchieta,2
NÃO PARÇA,CONECTA CARGO,SP,Pratania,2
NÃO PARÇA,CONECTA CARGO,SP,Oriente,2
NÃO PARÇA,CONECTA CARGO,SP,Viradouro,2
NÃO PARÇA,CONECTA CARGO,MG,Capela Nova,2
NÃO PARÇA,CONECTA CARGO,SC,Urussanga,2
NÃO PARÇA,MG - DOMINALOG,MA,Timon,2
NÃO PARÇA,CONECTA CARGO,MG,Barao de Cocais,2
NÃO PARÇA,MG - DOMINALOG,PE,Belo Jardim,2
NÃO PARÇA,CONECTA CARGO,SP,Dobrada,2
NÃO PARÇA,CONECTA CARGO,SP,Joao Ramalho,2
NÃO PARÇA,MG - DOMINALOG,PR,Pato Branco,2
NÃO PARÇA,CONECTA CARGO,SP,Monteiro Lobato,2
NÃO PARÇA,CONECTA CARGO,MG,Itapecerica,2
NÃO PARÇA,MG - DOMINALOG,ES,Venda Nova do Imigrante,2
NÃO PARÇA,CONECTA CARGO,SP,Bastos,2
NÃO PARÇA,MG - DOMINALOG,RS,Pedro Osorio,2
NÃO PARÇA,CONECTA CARGO,SP,Palmeira DOeste,2
NÃO PARÇA,CONECTA CARGO,MG,Urucania,2
NÃO PARÇA,MG - DOMINALOG,RS,Nova Petropolis,2
NÃO PARÇA,CONECTA CARGO,SC,Curitibanos,2
NÃO PARÇA,MG - DOMINALOG,MA,Governador Eugenio Barros,2
NÃO PARÇA,CONECTA CARGO,SP,Buritama,2
NÃO PARÇA,MG - DOMINALOG,BA,Urucuca,2
NÃO PARÇA,FAVORITA,MT,Canarana,2
NÃO PARÇA,MG - DOMINALOG,BA,Coracao de Maria,2
NÃO PARÇA,FAVORITA,GO,Divinopolis de Goias,2
NÃO PARÇA,CONECTA CARGO,MG,Arceburgo,2
NÃO PARÇA,CONECTA CARGO,SP,Severinia,2
NÃO PARÇA,CONECTA CARGO,SP,Junqueiropolis,2
NÃO PARÇA,MG - DOMINALOG,PB,Patos,2
NÃO PARÇA,CONECTA CARGO,SC,Dionisio Cerqueira,2
NÃO PARÇA,CONECTA CARGO,MG,Ladainha,2
NÃO PARÇA,CONECTA CARGO,SC,Cocal do Sul,2
NÃO PARÇA,CONECTA CARGO,SP,Colina,2
NÃO PARÇA,CONECTA CARGO,MG,Jaboticatubas,2
NÃO PARÇA,MG - DOMINALOG,BA,Morro do Chapeu,2
NÃO PARÇA,CONECTA CARGO,SP,Aguai,2
NÃO PARÇA,CONECTA CARGO,SP,Dourado,2
NÃO PARÇA,BULKY - SJ PINH,PR,Curitiba,2
NÃO PARÇA,MG - DOMINALOG,BA,Mirante,2
NÃO PARÇA,MG - DOMINALOG,BA,Dias Davila,2
NÃO PARÇA,CONECTA CARGO,SP,Roseira,2
NÃO PARÇA,CONECTA CARGO,MG,aguas Formosas,2
NÃO PARÇA,CONECTA CARGO,MG,Engenheiro Caldas,2
NÃO PARÇA,CONECTA CARGO,SC,Capivari de Baixo,2
NÃO PARÇA,MG - DOMINALOG,RS,Santiago,2
