,,,,WEEK 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WEEK 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,,,,,,,,,,,,2026,,,,,,,,,,,,,,,,,Quarter 2025,,,,Quarter 2026,,,,,,,,,,,,,,,,
,CSAT MOVEIS CAMILO,%,maior - melhor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"100,00%","100,00%",-,-,-,-,,"100,00%",-%,-%,"100,00%","100,00%",-%,-%,"100,00%","50,00%",,,,,,,,,,,,,,,,,,,,,,,,,,,"-50,00%",,,,,,,,,,,,,,-,-,"100,00%","100,00%","100,00%","80,00%",,,,,,,"-20,00%",,-,"100,00%",,,,,,1,"93,33%",,,,,,,,,,,,,,,
,CSAT EletroShow,%,maior - melhor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,00%","66,67%","60,00%","100,00%",-%,"50,00%",-%,"60,00%","66,67%","100,00%","100,00%","100,00%",-%,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,-,-,"100,00%","66,67%","58,33%","94,12%",,,,,,,"61,36%",,-,"65,38%",,,,,,1,"73,04%",,,,,,,,,,,,,,,
,CSAT Almeida (SEBASTIAO FIRMI),%,maior - melhor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-%,-%,,-%,-%,-%,-%,-%,-%,-%,-%,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,-,-,-,-,"100,00%","100,00%",,,,,,,"0,00%",,-,"100,00%",,,,,,-,1,,,,,,,,,,,,,,,
,CSAT Pontasso Saldão (TRINDADE & CUBA),%,maior - melhor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-%,-%,,-%,-%,-%,"100,00%","100,00%","100,00%",-%,"88,89%",,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,-,-,-,-,"100,00%","93,75%",,,,,,,"-6,25%",,-,"100,00%",,,,,,-,"0,96875",,,,,,,,,,,,,,,
,CSAT Tania Aoki outl,%,maior - melhor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-%,-%,"100,00%",-%,-%,-%,"100,00%",,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,-,-,-,-,"100,00%","100,00%",,,,,,,"0,00%",,-,"100,00%",,,,,,,1,,,,,,,,,,,,,,,
,CSAT Di Casa (51.202.932 FRAN),%,maior - melhor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-%,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESTRUTURA REDUZIDA E DE BAIXO CUSTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parça Devolução: Rentabilidade,%,maior - melhor,"52,00%","53,00%","52,00%","51,00%","51,39%","53,25%","51,77%",56%,53%,50%,54%,51%,53%,54%,54%,52%,-%,52%,52%,54%,54%,56%,54%,54%,53%,55%,49%,53%,"54,11%",56%,"55,82%",54%,55%,56%,53%,54%,53%,54%,52%,55%,54%,54%,53%,53%,54%,48%,50%,53%,52%,53%,50%,50%,51%,50%,48%,"49,83%","49,04%","49,61%","48,24%","50,51%","50,53%","52,32%","49,50%",50%,51%,51%,"50,18%",54%,51%,"49,56%",49%,50%,50%,51%,"52,41%",48%,51%,47%,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6,54%",,"51,75%","53,27%","52,41%","52,14%","54,13%","54,02%","54,14%","54,71%","52,70%","54,14%","51,17%","51,07%","49,31%","50,29%","50,95%","51,12%","49,76%","49,63%",,,,,,,"-0,26%",,"52,97%","53,17%",,"52,47%","53,43%","53,85%","52,13%","50,18%","50,17%",,,,,,,,,,,,,,,
,Parça Reversa: Rentabilidade,%,maior - melhor,n/a,16%,17%,17%,16%,17%,17%,17%,16%,16%,14%,17%,15%,20%,18%,17%,-%,17%,19%,18%,18%,17%,18%,-%,19%,19%,18%,17%,"19,19%",20%,"18,95%",18%,"17,76%",17%,19%,17%,19%,17%,18%,17%,18%,14%,17%,19%,18%,18%,18%,19%,18%,17%,17%,18%,17%,20%,17%,"15,56%","17,43%","18,35%","16,74%","17,03%","16,95%","17,75%","16,61%",19%,17%,19%,"17,98%",18%,18%,"17,38%",18%,18%,16%,20%,"18,01%","18,79%",16%,"18,09%",,,,,,,,,,,,,,,,,,,,,,,,,,,"10,37%",,"16,38%","16,47%","16,76%","17,29%","17,52%","18,30%","19,08%","17,97%","17,83%","18,23%","18,3%","17,45%","17,33%","17,14%","17,86%","18,23%","18,44%","17,77%",,,,,,,"-3,63%",,"17,63%","18,01%",,"16,54%","17,70%","18,29%","18,00%","17,44%","18,15%",,,,,,,,,,,,,,,
,Parça Devolução: % de Abrangência (Bulkys),%,maior - melhor,"56,65%","64,50%","74,86%","84,44%","83,89%","79,75%","89,97%","94,21%","92,87%","95,25%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%",100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00%",,"83,41%","94,17%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%",100%,100%,100%,100%,100%,100%,,,,,,,"0,00%",,"98,13%","100,00%",,"92,53%","100,00%","100,00%","100,00%",100%,100%,,,,,,,,,,,,,,,
,Parça Devolução: Total de Notas Coletadas,#,maior - melhor,196,276,274,331,326,347,350,374,404,301,335,425,455,559,522,477,443,394,445,370,422,457,396,469,486,442,403,545,497,499,535,558,426,491,487,443,589,594,491,604,535,493,452,485,434,487,625,524,603,681,818,552,530,657,499,634,649,621,636,445,612,986,779,740,959,689,810,573,730,598,670,901,430,452,378,431,654,519,,,,,,,,,,,,,,,,,,,,,,,,,,,"-20,64%",,1357,1471,1542,1920,1895,1841,2119,1991,2318,2313,1983,2742,2116,2203,3172,2744,2.340,1.969,,,,,,,"-15,85%",,1958,22216,,"1456,7","1885,3","2142,7","2346,0",2497,2351,,,,,,,,,,,,,,,
,Parça Devolução: Valor Recebido,R$,maior - melhor,"60,7K","39,2K","99,4K","62,1K","145,7K","94,7K","121,1K","95,6K","131,4K","111,1K","144,8K","107,5K","111,7K","99,6K","134,0K","120,0K",-,"283,0K","193,6K","321,9K","215,9K","226,2K","213,0K","212,8K","199,8K","267,2K","80,5K","344,3K","200,1K","260,0K","281,3K","316,3K","346,6K","248,5K","284,4K","241,2K","238,3K","263,7K","318,7K","325,9K","332,4K","292,5K","298,3K","288,9K","255,2K","218,4K","237,6K","254,3K","248,0K","110,9K","417,9K","292,0K","166,6K","173,0K","341,6K","302,8K","455,3K","559,5K","393,2K","352,4K","272,6K","327,7K","260,2K","254,4K","281,7K","204,8K","288,6K","295,7K","302,8K","279,7K","209,7K","338,7K","256,0K","250,9K","248,7K","212,8K","236,3K","261,4K",,,,,,,,,,,,,,,,,,,,,,,,,,,"10,65%",,"407,9K","442,8K","475,1K","509,9K","1,1M","893,2K","1,3M","1,2M","1,2M","1,4M","965,4K","1,2M","1,3M","1,3M","1,3M","1,2M","1,1M","952,6K",,,,,,,"-9,72%",,"920,3K","11,0M",,"441,9K","829,3K","1,2M","1,2M","1,3M","1,1M",,,,,,,,,,,,,,,
,Parça Devolução: Estoque Evitado,R$,maior - melhor,"117,2K","75,2K","190,3K","122,0K","283,5K","177,9K","233,8K","170,8K","248,8K","222,3K","265,8K","210,5K","211,5K","187,2K","248,5K","231,0K",-,"545,0K","370,9K","590,9K","400,9K","407,4K","396,0K","392,0K","377,4K","487,7K","164,6K","649,8K","369,7K","464,3K","504,0K","585,0K","625,6K","440,1K","536,0K","450,5K","449,6K","485,2K","616,9K","593,4K","615,8K","541,0K","564,2K","544,9K","475,2K","451,8K","477,4K","482,2K","473,5K","207,5K","828,8K","585,0K","324,4K","342,8K","710,8K","607,8K","928,6K","277,6K","815,1K","697,7K","539,4K","626,4K","525,7K","510,3K","549,8K","400,4K","575,1K","546,9K","593,3K","564,4K","431,1K","678,8K","514,9K","496,1K","474,5K","441,4K","465,8K","551,4K",,,,,,,,,,,,,,,,,,,,,,,,,,,"18,39%",,"788,2K","831,3K","905,7K","974,5K","2,0M","1,7M","2,3M","2,1M","2,2M","2,6M","1,9M","2,4M","2,6M","2,5M","2,5M","2,3M","2,1M","1,9M",,,,,,,"-9,50%",,"1,7M","20,8M",,"841,7K","1,5M","2,2M","2,3M","2,5M","2,1M",,,,,,,,,,,,,,,
,Parça Reversa: % de Abrangência,%,maior - melhor,"71,09%","74,35%","71,76%","82,44%","83,33%","88,22%","86,36%","82,90%","87,80%","86,08%","83,65%","80,22%","87,36%","82,57%","85,44%","76,81%","75,43%","73,96%","82,98%","83,11%","86,26%","82,82%","81,12%","81,00%","81,13%","78,75%","87,18%",90.81%,"74,89%","86,62%","80,16%","86,29%","82,37%","85,66%","77,94%","80,89%","82,68%","86,71%","83,47%","77,00%","85,74%","83,61%","84,25%","83,99%","82,38%","82,99%","89,45%","88,43%","81,39%","87,14%","91,07%","93,28%","81,38%","84,94%","81,14%","82,03%","88,93%","89,12%","82,82%","85,27%","81,46%","83,77%","85,89%","83,33%","82,57%","86,49%","84,97%","87,07%","81,20%","83,25%","80,58%","85,03%","77,53%","81,90%","82,89%","84,40%","78,58%","90,05%",,,,,,,,,,,,,,,,,,,,,,,,,,,"14,60%",,"75,85%","80,52%","79,73%","76,05%","80,21%","79,04%","79,75%","79,33%","76,00%","78,88%","81,42%","81,83%","78,08%","78,56%","78,10%","80,30%","77,55%","81,21%",,,,,,,"4,72%",,"79,05%","78,87%",,"78,70%","78,43%","78,36%","80,71%","78,25%","79,69%",,,,,,,,,,,,,,,
,Parça Reversa: Total de Notas Coletadas,#,maior - melhor,209,458,426,385,340,429,418,446,511,303,481,442,394,412,446,265,261,301,473,492,383,352,451,422,301,404,408,346,331,343,412,491,500,490,530,529,401,411,515,492,421,495,508,425,416,478,407,558,468,420,622,222,153,502,542,589,490,549,511,301,536,480,493,505,507,512,492,505,406,353,336,318,452,439,586,460,477,498,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,40%",,1801,1918,1915,1864,2188,1824,2004,2253,2200,2300,1989,1887,2295,2049,2395,2274,2.042,2.209,,,,,,,"8,18%",,2012,24379,,"1878,0","1958,7","2152,3","2058,7","2246,33",2175,,,,,,,,,,,,,,,
,Parça Reversa: Valor Recebido,R$,maior - melhor,"11,5K","25,8K","78,7K","37,8K","64,9K","36,9K",-,"90,0K","32,5K","51,6K","2,7K","87,6K","23,1K","30,5K","58,3K","49,1K",-,"86,1K","6,6K","102,4K","85,6K","133,8K","80,0K",-,"81,3K","66,5K","77,3K","66,6K","55,7K","125,8K","3,6K","157,1K","67,0K","76,1K","73,6K","65,7K","71,0K","57,1K","86,9K","82,3K","71,2K","2,6K","63,0K","157,7K","77,7K","57,2K","12,1K","136,9K","71,4K","53,3K","117,6K","63,3K","26,8K","32,0K","62,9K","72,3K","127,2K","60,9K","62,5K","62,0K","71,8K","87,9K","39,1K","106,9K","65,5K","72,4K","86,8K","68,6K","60,3K","84,9K","61,0K","70,0K","45,1K","115,0K","65,9K","65,6K","72,6K","91,7K",,,,,,,,,,,,,,,,,,,,,,,,,,,"26,45%",,"207,2K","159,3K","195,5K","193,2K","330,1K","304,6K","223,8K","377,5K","293,9K","363,5K","283,9K","300,1K","294,4K","262,7K","345,5K","326,9K","297,2K","295,9K",,,,,,,"-0,46%",,"269,4K","3,3M",,"187,3K","276,0K","298,4K","315,8K","300,9K","306,7K",,,,,,,,,,,,,,,
,Parça Reversa: Estoque Evitado,R$,maior - melhor,"79,1K","160,2K","474,5K","219,8K","410,3K","222,1K",-,"544,9K","200,4K","321,8K","18,6K","523,1K","156,6K","150,0K","327,5K","298,0K",-,"504,0K","35,3K","583,3K","479,1K","773,9K","455,0K",-,"425,7K","354,0K","431,3K","386,0K","290,0K","632,3K","19,0K","869,1K","377,5K","445,4K","390,2K","378,9K","372,6K","327,0K","482,4K","473,4K","396,8K","18,1K","362,9K","830,6K","433,2K","320,9K","66,9K","728,6K","400,2K","313,1K","677,7K","352,1K","161,5K","161,3K","361,0K","464,8K","730,2K","331,8K","373,8K","364,0K","423,3K","495,2K","235,2K","564,5K","380,5K","381,4K","482,7K","376,3K","343,8K","488,4K","344,3K","381,2K","274,5K","586,4K","366,1K","349,4K","442,6K","507,0K",,,,,,,,,,,,,,,,,,,,,,,,,,,"14,55%",,"1,3M","967,3K","1,2M","1,1M","1,9M","1,7M","1,2M","2,1M","1,6M","2,0M","1,6M","1,7M","1,7M","1,5M","2,0M","1,8M","1,6M","1,7M",,,,,,,"3,30%",,"1,5M","18,2M",,"1,1M","1,6M","1,6M","1,8M","1,7M","1,7M",,,,,,,,,,,,,,,
,ALOCAÇÃO PARA PARCEIROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Abrangência Terceiras Parça,%,maior - melhor,-%,-%,-%,-%,-%,-%,-%,"16,60%","18,16%","19,55%","14,60%","52,65%","45,34%","55,18%","62,08%","58,21%","59,47%","67,10%","100,0%","100,0%","100,0%","100,0%","100,0%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00%",,"0,00%","17,38%","33,04%","58,74%","89,03%","100,0%",,,,,,,,,,,,,,,,,,,"77,80%",,"36,38%",,,"25,21%",,,,,,,,,,,,,,,,,,,,
,Abrangência Geral Parça,%,maior - melhor,"48,73%","60,10%","61,75%","62,74%","62,79%","61,96%","62,19%","68,74%","72,70%","69,88%","70,10%","78,27%","79,24%","80,85%","84,09%","81,02%","81,28%","85,28%","100,0%","100,0%","100,0%","100,0%","100,0%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00%",,"59,31%","66,53%","74,35%","82,85%","95,09%","100,0%",,,,,,,,,,,,,,,,,,,"11,44%",,"70,76%",,,"70,44%",,,,,,,,,,,,,,,,,,,,
,Abrangência Geral Reversa (Parça + Terceira + Bulky),%,maior - melhor,"75,17%","78,85%","74,16%","79,43%","78,87%","82,43%","77,17%","83,19%","87,80%","84,65%","81,59%","91,97%","94,09%","95,10%","94,41%","91,74%","83,33%","90,91%","100,0%","100,0%","100,0%","100,0%","100,0%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00%",,"77,30%","83,49%","92,68%","90,76%","96,97%","100,0%",,,,,,,,,,,,,,,,,,,"-2,07%",,"86,06%",,,"88,09%",,,,,,,,,,,,,,,,,,,,
,Abrangência  Devolução  (Terceira),%,maior - melhor,-%,-%,-%,-%,-%,-%,-%,"20,24%","20,62%","20,73%","17,87%","51,56%","42,24%","52,13%","61,82%","57,43%","67,99%","69,93%","100,0%","100,0%","100,0%","100,0%","100,0%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00%",,-%,"23,54%","45,21%","62,79%","89,98%",,,,,,,,,,,,,,,,,,,,"38,89%",,"43,85%",,,"34,38%",,,,,,,,,,,,,,,,,,,,
,% de Reversas Bulky,,menor - melhor,"1,45%","3,24%","0,89%","0,48%","1,73%","1,08%","1,26%","0,81%","1,52%","1,15%","0,71%","1,67%","1,07%","1,60%","1,68%","2,70%","1,61%","1,96%","1,91%","2,03%","1,77%","3,79%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,24%",,"22,54%","17,82%","18,78%","21,79%","17,35%","0,00%",,,,,,,,,,,,,,,,,,,"16,04%",,,,,,,,,,,,,,,,,,,,,,,,,
,% de Reversas Terceiras,,menor - melhor,"27,46%","22,41%","27,35%","17,08%","14,94%","10,70%","12,38%","16,29%","10,68%","12,77%","15,64%","18,11%","11,57%","15,83%","12,88%","20,49%","22,96%","24,08%","15,11%","14,86%","11,97%","13,39%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,65%",,"1,61%","1,66%","1,49%","2,16%","2,36%","0,00%",,,,,,,,,,,,,,,,,,,"44,87%",,,,,,,,,,,,,,,,,,,,,,,,,
,% de Devolução Bulky,,menor - melhor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,% de Devolução Terceiras,,menor - melhor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GIRO COLETAS EM ATRASO - (ABERTO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ATRASO TOTAL:,,menor - melhor,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,145,209,214,194,162,166,145,218,138,157,169,109,91,113,116,104,93,139,93,166,131,185,130,99,109,185,82,124,113,131,159,115,97,61,92,88,101,134,127,100,118,84,72,145,211,165,201,190,101,153,216,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,-,-,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,SAFARI,,menor - melhor,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,83,109,114,61,83,88,84,147,79,80,71,56,41,40,59,52,37,56,38,86,81,64,58,58,58,105,28,51,51,80,103,64,75,43,43,42,44,57,77,62,61,55,46,94,113,89,121,73,50,83,106,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,-,-,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,SALDÃO CAMPINAS,,menor - melhor,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,0,3,1,4,3,5,0,9,3,3,2,0,1,5,1,4,6,5,3,4,5,4,4,2,4,7,1,5,3,6,2,8,7,4,2,1,4,2,0,4,4,2,5,8,5,4,3,8,3,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,-,-,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,MOVEL SERVICE,,menor - melhor,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,17,36,35,72,28,35,32,35,25,33,53,23,13,16,23,21,37,31,37,52,26,65,43,29,30,33,35,29,20,23,34,27,6,3,22,33,37,49,32,17,37,23,10,28,52,46,43,67,26,43,76,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,-,-,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,REAL MOWEIS,,menor - melhor,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,5,0,3,5,4,3,5,3,5,9,7,5,1,10,4,3,1,5,1,1,5,6,3,0,1,0,0,3,0,1,3,4,2,0,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,-,-,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,LOGME (LIFE AMBIENTAL),,menor - melhor,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,4,14,9,10,12,6,9,7,7,11,10,5,11,13,6,6,3,17,2,6,6,13,10,2,4,12,9,24,9,7,5,6,2,0,0,1,2,3,2,3,2,0,1,3,5,3,14,23,6,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,-,-,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,KMAN MONTAGEM,,menor - melhor,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,10,9,15,9,10,3,2,2,2,2,0,0,1,0,4,4,0,0,0,3,0,3,1,1,2,5,2,0,1,1,0,0,0,3,1,1,0,7,2,3,0,0,1,3,0,0,2,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,-,-,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,OUTELETRO,,menor - melhor,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,1,7,1,3,7,15,4,3,4,3,13,11,14,11,7,2,0,2,2,2,1,22,2,1,3,7,1,2,2,3,1,0,3,2,2,0,6,1,7,3,2,0,4,1,22,9,3,1,3,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,-,-,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,AGMX OPORTUNIDA,,menor - melhor,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,2,9,5,3,8,1,9,5,1,7,2,3,0,4,2,5,3,8,7,4,4,6,7,3,2,5,4,9,9,1,0,1,0,1,9,1,3,1,0,0,0,1,3,1,2,2,0,1,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,-,-,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,ORC MOVEIS E EL,,menor - melhor,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,20,18,25,23,7,7,0,5,9,7,11,6,9,12,6,1,4,11,2,3,2,1,2,1,0,0,0,0,5,2,1,1,1,0,1,0,0,0,2,1,1,0,0,2,4,0,0,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,-,-,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,E S L KOSLYK CO (Ebenezer),,menor - melhor,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,3,4,5,4,0,2,0,1,0,1,0,0,0,2,4,6,2,3,0,5,1,1,0,2,2,10,2,1,4,5,9,0,0,3,5,1,2,2,1,1,1,1,1,0,4,9,5,2,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,-,-,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,JEV TRANSPORTES,,menor - melhor,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-,-,-,-,0,0,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,-,-,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,Outlet D Tudo,,menor - melhor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,1,1,1,1,0,4,6,2,6,2,3,5,0,0,2,3,3,9,10,6,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,-7,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,-,-,,-,-,-,-,-,-,-,-,-,,-,,,,,,,,,,
,Topa Tudo ,,menor - melhor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,-,-,,-,-,-,-,-,-,-,-,-,,-,,,,,,,,,,
,MEGA MULTI OUTLET,,menor - melhor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,-,-,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,MOVEIS CAMILO,,menor - melhor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,-,-,,,,,,-,-,-,-,,,,,,,,,,,,,
